2026-07-19 22:23:46.895 INFO  [restartedMain] c.m.editorial.EditorialApplication - Starting EditorialApplication using Java 21.0.2 with PID 25000 (C:\Temp\MediaHub_Final_Clean\MediaHub-Integrated_eurekaserver_apigateway\MediaHub-Integrated\editorial\target\classes started by 2506595 in C:\Temp\MediaHub_Final_Clean\MediaHub-Integrated_eurekaserver_apigateway\MediaHub-Integrated\editorial)
2026-07-19 22:24:10.719 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Disable delta property : false
2026-07-19 22:24:10.719 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2026-07-19 22:24:10.720 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2026-07-19 22:24:10.720 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Application is null : false
2026-07-19 22:24:10.720 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2026-07-19 22:24:10.721 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Application version is -1: true
2026-07-19 22:24:10.721 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2026-07-19 22:24:12.022 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - The response status is 200
2026-07-19 22:24:12.038 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 10
2026-07-19 22:24:12.065 INFO  [restartedMain] c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2026-07-19 22:24:12.074 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1784480052071 with initial instances count: 8
2026-07-19 22:24:12.121 INFO  [restartedMain] o.s.c.n.e.s.EurekaServiceRegistry - Registering application MEDIAHUB-EDITORIAL with eureka with status UP
2026-07-19 22:24:12.125 INFO  [restartedMain] c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1784480052124, current=UP, previous=STARTING]
2026-07-19 22:24:12.129 INFO  [restartedMain] o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-9097"]
2026-07-19 22:24:12.133 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] c.netflix.discovery.DiscoveryClient - DiscoveryClient_MEDIAHUB-EDITORIAL/LTIN709840.cts.com:mediahub-editorial:9097: registering service...
2026-07-19 22:24:12.231 INFO  [restartedMain] o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 9097 (http) with context path '/'
2026-07-19 22:24:12.241 INFO  [restartedMain] o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 9097
2026-07-19 22:24:12.307 INFO  [DiscoveryClient-InstanceInfoReplicator-%d] c.netflix.discovery.DiscoveryClient - DiscoveryClient_MEDIAHUB-EDITORIAL/LTIN709840.cts.com:mediahub-editorial:9097 - registration status: 204
2026-07-19 22:24:12.321 INFO  [restartedMain] c.m.editorial.EditorialApplication - Started EditorialApplication in 26.439 seconds (process running for 27.335)
2026-07-19 22:24:12.542 INFO  [restartedMain] c.m.editorial.EditorialApplication - EditorialApplication started successfully
